road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,queue_percentage,travel_time,waiting_time_in_sec,speed,notes
0,0,1,0842:00_0843:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0843:00_0844:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0844:00_0845:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0845:00_0846:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0846:00_0847:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0847:00_0848:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0848:00_0849:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0849:00_0850:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0850:00_0851:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0851:00_0852:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0852:00_0853:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0853:00_0854:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0854:00_0855:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0855:00_0856:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0856:00_0857:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0857:00_0858:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0858:00_0859:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0859:00_0900:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0900:00_0901:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0901:00_0902:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0902:00_0903:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0903:00_0904:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0904:00_0905:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0905:00_0906:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0906:00_0907:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0907:00_0908:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0908:00_0909:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0909:00_0910:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0910:00_0911:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0911:00_0912:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0912:00_0913:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0913:00_0914:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0914:00_0915:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0915:00_0916:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0916:00_0917:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0917:00_0918:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0918:00_0919:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0919:00_0920:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0920:00_0921:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0921:00_0922:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0922:00_0923:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0923:00_0924:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0924:00_0925:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0925:00_0926:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0926:00_0927:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0927:00_0928:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0928:00_0929:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0929:00_0930:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0930:00_0931:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0931:00_0932:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0932:00_0933:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0933:00_0934:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0934:00_0935:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0935:00_0936:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0936:00_0937:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0937:00_0938:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0938:00_0939:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0939:00_0940:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0940:00_0941:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0941:00_0942:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0942:00_0943:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0943:00_0944:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0944:00_0945:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0945:00_0946:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0946:00_0947:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
0,0,1,0947:00_0948:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
