from_node_id,to_node_id,time_window,time_interval,travel_time_delta,capacity,cycle_length
25,93,0706:35_0706:48,-1,-1,6.47717,60
25,94,0706:35_0706:48,-1,-1,6.47717,60
45,98,0707:00_0707:03,-1,-1,1.619292,60
45,99,0707:03_0707:05,-1,-1,1.619292,60
45,100,0707:03_0707:05,-1,-1,1.619292,60
53,101,0707:00_0707:03,-1,-1,1.619292,60
53,102,0707:03_0707:05,-1,-1,1.619292,60
53,103,0707:03_0707:05,-1,-1,1.619292,60
31,95,0707:05_0707:18,-1,-1,1.709253,60
31,96,0707:05_0707:18,-1,-1,6.47717,60
31,97,0707:05_0707:18,-1,-1,6.47717,60
25,92,0707:05_0707:18,-1,-1,1.619292,60
25,93,0707:05_0707:18,-1,-1,6.47717,60
25,94,0707:05_0707:18,-1,-1,6.47717,60
45,98,0707:30_0707:33,-1,-1,1.619292,60
45,99,0707:33_0707:35,-1,-1,1.619292,60
45,100,0707:33_0707:35,-1,-1,1.619292,60
53,101,0707:30_0707:33,-1,-1,1.619292,60
53,102,0707:33_0707:35,-1,-1,1.619292,60
53,103,0707:33_0707:35,-1,-1,1.619292,60
31,95,0707:35_0707:48,-1,-1,1.709253,60
31,96,0707:35_0707:48,-1,-1,6.47717,60
31,97,0707:35_0707:48,-1,-1,6.47717,60
25,92,0707:35_0707:48,-1,-1,1.619292,60
25,93,0707:35_0707:48,-1,-1,6.47717,60
25,94,0707:35_0707:48,-1,-1,6.47717,60
45,98,0708:00_0708:03,-1,-1,1.619292,60
45,99,0708:03_0708:05,-1,-1,1.619292,60
45,100,0708:03_0708:05,-1,-1,1.619292,60
53,101,0708:00_0708:03,-1,-1,1.619292,60
53,102,0708:03_0708:05,-1,-1,1.619292,60
53,103,0708:03_0708:05,-1,-1,1.619292,60
31,95,0708:05_0708:18,-1,-1,1.709253,60
31,96,0708:05_0708:18,-1,-1,6.47717,60
31,97,0708:05_0708:18,-1,-1,6.47717,60
25,92,0708:05_0708:18,-1,-1,1.619292,60
25,93,0708:05_0708:18,-1,-1,6.47717,60
25,94,0708:05_0708:18,-1,-1,6.47717,60
45,98,0708:30_0708:33,-1,-1,1.619292,60
45,99,0708:33_0708:35,-1,-1,1.619292,60
45,100,0708:33_0708:35,-1,-1,1.619292,60
53,101,0708:30_0708:33,-1,-1,1.619292,60
53,102,0708:33_0708:35,-1,-1,1.619292,60
53,103,0708:33_0708:35,-1,-1,1.619292,60
31,95,0708:35_0708:48,-1,-1,1.709253,60
31,96,0708:35_0708:48,-1,-1,6.47717,60
31,97,0708:35_0708:48,-1,-1,6.47717,60
25,92,0708:35_0708:48,-1,-1,1.619292,60
25,93,0708:35_0708:48,-1,-1,6.47717,60
25,94,0708:35_0708:48,-1,-1,6.47717,60
45,98,0709:00_0709:03,-1,-1,1.619292,60
45,99,0709:03_0709:05,-1,-1,1.619292,60
45,100,0709:03_0709:05,-1,-1,1.619292,60
53,101,0709:00_0709:03,-1,-1,1.619292,60
53,102,0709:03_0709:05,-1,-1,1.619292,60
53,103,0709:03_0709:05,-1,-1,1.619292,60
31,95,0709:05_0709:18,-1,-1,1.709253,60
31,96,0709:05_0709:18,-1,-1,6.47717,60
31,97,0709:05_0709:18,-1,-1,6.47717,60
25,92,0709:05_0709:18,-1,-1,1.619292,60
25,93,0709:05_0709:18,-1,-1,6.47717,60
25,94,0709:05_0709:18,-1,-1,6.47717,60
45,98,0709:30_0709:33,-1,-1,1.619292,60
45,99,0709:33_0709:35,-1,-1,1.619292,60
45,100,0709:33_0709:35,-1,-1,1.619292,60
53,101,0709:30_0709:33,-1,-1,1.619292,60
53,102,0709:33_0709:35,-1,-1,1.619292,60
53,103,0709:33_0709:35,-1,-1,1.619292,60
31,95,0709:35_0709:48,-1,-1,1.709253,60
31,96,0709:35_0709:48,-1,-1,6.47717,60
31,97,0709:35_0709:48,-1,-1,6.47717,60
25,92,0709:35_0709:48,-1,-1,1.619292,60
25,93,0709:35_0709:48,-1,-1,6.47717,60
25,94,0709:35_0709:48,-1,-1,6.47717,60
45,98,0710:00_0710:03,-1,-1,1.619292,60
45,99,0710:03_0710:05,-1,-1,1.619292,60
45,100,0710:03_0710:05,-1,-1,1.619292,60
53,101,0710:00_0710:03,-1,-1,1.619292,60
53,102,0710:03_0710:05,-1,-1,1.619292,60
53,103,0710:03_0710:05,-1,-1,1.619292,60
31,95,0710:05_0710:18,-1,-1,1.709253,60
31,96,0710:05_0710:18,-1,-1,6.47717,60
31,97,0710:05_0710:18,-1,-1,6.47717,60
25,92,0710:05_0710:18,-1,-1,1.619292,60
25,93,0710:05_0710:18,-1,-1,6.47717,60
25,94,0710:05_0710:18,-1,-1,6.47717,60
45,98,0710:30_0710:33,-1,-1,1.619292,60
45,99,0710:33_0710:35,-1,-1,1.619292,60
45,100,0710:33_0710:35,-1,-1,1.619292,60
53,101,0710:30_0710:33,-1,-1,1.619292,60
53,102,0710:33_0710:35,-1,-1,1.619292,60
53,103,0710:33_0710:35,-1,-1,1.619292,60
31,95,0710:35_0710:48,-1,-1,1.709253,60
31,96,0710:35_0710:48,-1,-1,6.47717,60
31,97,0710:35_0710:48,-1,-1,6.47717,60
25,92,0710:35_0710:48,-1,-1,1.619292,60
25,93,0710:35_0710:48,-1,-1,6.47717,60
25,94,0710:35_0710:48,-1,-1,6.47717,60
45,98,0711:00_0711:03,-1,-1,1.619292,60
45,99,0711:03_0711:05,-1,-1,1.619292,60
45,100,0711:03_0711:05,-1,-1,1.619292,60
53,101,0711:00_0711:03,-1,-1,1.619292,60
53,102,0711:03_0711:05,-1,-1,1.619292,60
53,103,0711:03_0711:05,-1,-1,1.619292,60
31,95,0711:05_0711:18,-1,-1,1.709253,60
31,96,0711:05_0711:18,-1,-1,6.47717,60
31,97,0711:05_0711:18,-1,-1,6.47717,60
25,92,0711:05_0711:18,-1,-1,1.619292,60
25,93,0711:05_0711:18,-1,-1,6.47717,60
25,94,0711:05_0711:18,-1,-1,6.47717,60
45,98,0711:30_0711:33,-1,-1,1.619292,60
45,99,0711:33_0711:35,-1,-1,1.619292,60
45,100,0711:33_0711:35,-1,-1,1.619292,60
53,101,0711:30_0711:33,-1,-1,1.619292,60
53,102,0711:33_0711:35,-1,-1,1.619292,60
53,103,0711:33_0711:35,-1,-1,1.619292,60
31,95,0711:35_0711:48,-1,-1,1.709253,60
31,96,0711:35_0711:48,-1,-1,6.47717,60
31,97,0711:35_0711:48,-1,-1,6.47717,60
25,92,0711:35_0711:48,-1,-1,1.619292,60
25,93,0711:35_0711:48,-1,-1,6.47717,60
25,94,0711:35_0711:48,-1,-1,6.47717,60
45,98,0712:00_0712:03,-1,-1,1.619292,60
45,99,0712:03_0712:05,-1,-1,1.619292,60
45,100,0712:03_0712:05,-1,-1,1.619292,60
53,101,0712:00_0712:03,-1,-1,1.619292,60
53,102,0712:03_0712:05,-1,-1,1.619292,60
53,103,0712:03_0712:05,-1,-1,1.619292,60
31,95,0712:05_0712:18,-1,-1,1.709253,60
31,96,0712:05_0712:18,-1,-1,6.47717,60
31,97,0712:05_0712:18,-1,-1,6.47717,60
25,92,0712:05_0712:18,-1,-1,1.619292,60
25,93,0712:05_0712:18,-1,-1,6.47717,60
25,94,0712:05_0712:18,-1,-1,6.47717,60
45,98,0712:30_0712:33,-1,-1,1.619292,60
45,99,0712:33_0712:35,-1,-1,1.619292,60
45,100,0712:33_0712:35,-1,-1,1.619292,60
53,101,0712:30_0712:33,-1,-1,1.619292,60
53,102,0712:33_0712:35,-1,-1,1.619292,60
53,103,0712:33_0712:35,-1,-1,1.619292,60
31,95,0712:35_0712:48,-1,-1,1.709253,60
31,96,0712:35_0712:48,-1,-1,6.47717,60
31,97,0712:35_0712:48,-1,-1,6.47717,60
25,92,0712:35_0712:48,-1,-1,1.619292,60
25,93,0712:35_0712:48,-1,-1,6.47717,60
25,94,0712:35_0712:48,-1,-1,6.47717,60
45,98,0713:00_0713:03,-1,-1,1.619292,60
45,99,0713:03_0713:05,-1,-1,1.619292,60
45,100,0713:03_0713:05,-1,-1,1.619292,60
53,101,0713:00_0713:03,-1,-1,1.619292,60
53,102,0713:03_0713:05,-1,-1,1.619292,60
53,103,0713:03_0713:05,-1,-1,1.619292,60
31,95,0713:05_0713:18,-1,-1,1.709253,60
31,96,0713:05_0713:18,-1,-1,6.47717,60
31,97,0713:05_0713:18,-1,-1,6.47717,60
25,92,0713:05_0713:18,-1,-1,1.619292,60
25,93,0713:05_0713:18,-1,-1,6.47717,60
25,94,0713:05_0713:18,-1,-1,6.47717,60
45,98,0713:30_0713:33,-1,-1,1.619292,60
45,99,0713:33_0713:35,-1,-1,1.619292,60
45,100,0713:33_0713:35,-1,-1,1.619292,60
53,101,0713:30_0713:33,-1,-1,1.619292,60
53,102,0713:33_0713:35,-1,-1,1.619292,60
53,103,0713:33_0713:35,-1,-1,1.619292,60
31,95,0713:35_0713:48,-1,-1,1.709253,60
31,96,0713:35_0713:48,-1,-1,6.47717,60
31,97,0713:35_0713:48,-1,-1,6.47717,60
25,92,0713:35_0713:48,-1,-1,1.619292,60
25,93,0713:35_0713:48,-1,-1,6.47717,60
25,94,0713:35_0713:48,-1,-1,6.47717,60
45,98,0714:00_0714:03,-1,-1,1.619292,60
45,99,0714:03_0714:05,-1,-1,1.619292,60
45,100,0714:03_0714:05,-1,-1,1.619292,60
53,101,0714:00_0714:03,-1,-1,1.619292,60
53,102,0714:03_0714:05,-1,-1,1.619292,60
53,103,0714:03_0714:05,-1,-1,1.619292,60
31,95,0714:05_0714:18,-1,-1,1.709253,60
31,96,0714:05_0714:18,-1,-1,6.47717,60
31,97,0714:05_0714:18,-1,-1,6.47717,60
25,92,0714:05_0714:18,-1,-1,1.619292,60
25,93,0714:05_0714:18,-1,-1,6.47717,60
25,94,0714:05_0714:18,-1,-1,6.47717,60
45,98,0714:30_0714:33,-1,-1,1.619292,60
45,99,0714:33_0714:35,-1,-1,1.619292,60
45,100,0714:33_0714:35,-1,-1,1.619292,60
53,101,0714:30_0714:33,-1,-1,1.619292,60
53,102,0714:33_0714:35,-1,-1,1.619292,60
53,103,0714:33_0714:35,-1,-1,1.619292,60
31,95,0714:35_0714:48,-1,-1,1.709253,60
31,96,0714:35_0714:48,-1,-1,6.47717,60
31,97,0714:35_0714:48,-1,-1,6.47717,60
25,92,0714:35_0714:48,-1,-1,1.619292,60
25,93,0714:35_0714:48,-1,-1,6.47717,60
25,94,0714:35_0714:48,-1,-1,6.47717,60
45,98,0715:00_0715:03,-1,-1,1.619292,60
45,99,0715:03_0715:05,-1,-1,1.619292,60
45,100,0715:03_0715:05,-1,-1,1.619292,60
53,101,0715:00_0715:03,-1,-1,1.619292,60
53,102,0715:03_0715:05,-1,-1,1.619292,60
53,103,0715:03_0715:05,-1,-1,1.619292,60
31,95,0715:05_0715:18,-1,-1,1.709253,60
31,96,0715:05_0715:18,-1,-1,6.47717,60
31,97,0715:05_0715:18,-1,-1,6.47717,60
25,92,0715:05_0715:18,-1,-1,1.619292,60
25,93,0715:05_0715:18,-1,-1,6.47717,60
25,94,0715:05_0715:18,-1,-1,6.47717,60
45,98,0715:30_0715:33,-1,-1,1.619292,60
45,99,0715:33_0715:35,-1,-1,1.619292,60
45,100,0715:33_0715:35,-1,-1,1.619292,60
53,101,0715:30_0715:33,-1,-1,1.619292,60
53,102,0715:33_0715:35,-1,-1,1.619292,60
53,103,0715:33_0715:35,-1,-1,1.619292,60
31,95,0715:35_0715:48,-1,-1,1.709253,60
31,96,0715:35_0715:48,-1,-1,6.47717,60
31,97,0715:35_0715:48,-1,-1,6.47717,60
25,92,0715:35_0715:48,-1,-1,1.619292,60
25,93,0715:35_0715:48,-1,-1,6.47717,60
25,94,0715:35_0715:48,-1,-1,6.47717,60
45,98,0716:00_0716:03,-1,-1,1.619292,60
45,99,0716:03_0716:05,-1,-1,1.619292,60
45,100,0716:03_0716:05,-1,-1,1.619292,60
53,101,0716:00_0716:03,-1,-1,1.619292,60
53,102,0716:03_0716:05,-1,-1,1.619292,60
53,103,0716:03_0716:05,-1,-1,1.619292,60
31,95,0716:05_0716:18,-1,-1,1.709253,60
31,96,0716:05_0716:18,-1,-1,6.47717,60
31,97,0716:05_0716:18,-1,-1,6.47717,60
25,92,0716:05_0716:18,-1,-1,1.619292,60
25,93,0716:05_0716:18,-1,-1,6.47717,60
25,94,0716:05_0716:18,-1,-1,6.47717,60
45,98,0716:30_0716:33,-1,-1,1.619292,60
45,99,0716:33_0716:35,-1,-1,1.619292,60
45,100,0716:33_0716:35,-1,-1,1.619292,60
53,101,0716:30_0716:33,-1,-1,1.619292,60
53,102,0716:33_0716:35,-1,-1,1.619292,60
53,103,0716:33_0716:35,-1,-1,1.619292,60
31,95,0716:35_0716:48,-1,-1,1.709253,60
31,96,0716:35_0716:48,-1,-1,6.47717,60
31,97,0716:35_0716:48,-1,-1,6.47717,60
25,92,0716:35_0716:48,-1,-1,1.619292,60
25,93,0716:35_0716:48,-1,-1,6.47717,60
25,94,0716:35_0716:48,-1,-1,6.47717,60
45,98,0717:00_0717:03,-1,-1,1.619292,60
45,99,0717:03_0717:05,-1,-1,1.619292,60
45,100,0717:03_0717:05,-1,-1,1.619292,60
53,101,0717:00_0717:03,-1,-1,1.619292,60
53,102,0717:03_0717:05,-1,-1,1.619292,60
53,103,0717:03_0717:05,-1,-1,1.619292,60
31,95,0717:05_0717:18,-1,-1,1.709253,60
31,96,0717:05_0717:18,-1,-1,6.47717,60
31,97,0717:05_0717:18,-1,-1,6.47717,60
25,92,0717:05_0717:18,-1,-1,1.619292,60
25,93,0717:05_0717:18,-1,-1,6.47717,60
