agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,toll,travel_time,distance,opti_cost,oc_diff,relative_diff,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,
33,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:44;0703:44;0704:44;0716:42;0717:45;0718:45;0719:45;,422.73;423.73;424.73;436.70;437.75;438.75;439.75;,1.00;1.00;11.97;1.05;1.00;1.00;
34,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:49;0703:49;0704:49;0717:07;0718:07;0719:10;0720:10;,422.82;423.82;424.82;437.13;438.13;439.18;440.18;,1.00;1.00;12.32;1.00;1.05;1.00;
35,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:53;0703:53;0704:53;0717:12;0718:12;0719:17;0720:17;,422.90;423.90;424.90;437.20;438.20;439.30;440.30;,1.00;1.00;12.30;1.00;1.10;1.00;
36,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:00;0704:00;0705:00;0717:12;0718:13;0719:19;0720:19;,423.00;424.00;425.00;437.20;438.22;439.32;440.32;,1.00;1.00;12.20;1.02;1.10;1.00;
37,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:05;0704:05;0705:05;0718:08;0719:08;0720:08;0721:08;,423.08;424.08;425.08;438.15;439.15;440.15;441.15;,1.00;1.00;13.07;1.00;1.00;1.00;
38,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:09;0704:09;0705:09;0718:16;0719:35;0720:35;0721:35;,423.17;424.17;425.17;438.28;439.58;440.58;441.58;,1.00;1.00;13.12;1.30;1.00;1.00;
39,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:15;0704:15;0705:15;0718:16;0719:37;0720:42;0721:42;,423.25;424.25;425.25;438.28;439.62;440.70;441.70;,1.00;1.00;13.03;1.33;1.08;1.00;
40,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:20;0704:20;0705:20;0719:09;0720:09;0721:09;0722:09;,423.33;424.33;425.33;439.17;440.17;441.17;442.17;,1.00;1.00;13.83;1.00;1.00;1.00;
41,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:24;0704:24;0705:24;0719:45;0720:45;0721:46;0722:46;,423.42;424.42;425.42;439.77;440.77;441.78;442.78;,1.00;1.00;14.35;1.00;1.02;1.00;
42,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:30;0704:30;0705:30;0719:46;0720:46;0721:49;0722:49;,423.50;424.50;425.50;439.78;440.78;441.82;442.82;,1.00;1.00;14.28;1.00;1.03;1.00;
43,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:36;0704:36;0705:36;0720:10;0721:12;0722:25;0723:25;,423.60;424.60;425.60;440.18;441.20;442.43;443.43;,1.00;1.00;14.58;1.02;1.23;1.00;
44,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:40;0704:40;0705:40;0721:37;0722:37;0723:37;0724:37;,423.68;424.68;425.68;441.63;442.63;443.63;444.63;,1.00;1.00;15.95;1.00;1.00;1.00;
45,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:45;0704:45;0705:45;0721:37;0722:39;0723:42;0724:42;,423.77;424.77;425.77;441.63;442.67;443.70;444.70;,1.00;1.00;15.87;1.03;1.03;1.00;
46,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:51;0704:51;0705:51;0721:45;0722:45;0723:45;0724:45;,423.85;424.85;425.85;441.77;442.77;443.77;444.77;,1.00;1.00;15.92;1.00;1.00;1.00;
47,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0703:55;0704:55;0705:55;0721:45;0722:46;0723:47;0724:47;,423.93;424.93;425.93;441.77;442.78;443.80;444.80;,1.00;1.00;15.83;1.02;1.02;1.00;
48,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:00;0705:00;0706:00;0723:39;0724:39;0725:42;0726:42;,424.02;425.02;426.02;443.67;444.67;445.70;446.70;,1.00;1.00;17.65;1.00;1.03;1.00;
49,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:06;0705:06;0706:06;0723:40;0724:43;0725:43;0726:43;,424.10;425.10;426.10;443.68;444.72;445.72;446.72;,1.00;1.00;17.58;1.03;1.00;1.00;
50,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:10;0705:10;0706:10;0723:47;0725:06;0726:07;0727:07;,424.18;425.18;426.18;443.80;445.10;446.12;447.12;,1.00;1.00;17.62;1.30;1.02;1.00;
51,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:16;0705:16;0706:16;0723:47;0725:07;0726:09;0727:09;,424.28;425.28;426.28;443.80;445.12;446.17;447.17;,1.00;1.00;17.52;1.32;1.05;1.00;
52,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:22;0705:22;0706:22;0724:45;0725:45;0726:45;0727:45;,424.37;425.37;426.37;444.75;445.75;446.75;447.75;,1.00;1.00;18.38;1.00;1.00;1.00;
53,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:27;0705:27;0706:27;0724:45;0725:46;0726:51;0727:51;,424.45;425.45;426.45;444.75;445.78;446.85;447.85;,1.00;1.00;18.30;1.03;1.07;1.00;
54,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:31;0705:31;0706:31;0725:07;0726:07;0727:07;0728:07;,424.53;425.53;426.53;445.13;446.13;447.13;448.13;,1.00;1.00;18.60;1.00;1.00;1.00;
55,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:37;0705:37;0706:37;0725:45;0726:45;0727:46;0728:46;,424.62;425.62;426.62;445.77;446.77;447.78;448.78;,1.00;1.00;19.15;1.00;1.02;1.00;
56,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:42;0705:42;0706:42;0726:14;0727:15;0728:15;0729:15;,424.70;425.70;426.70;446.23;447.25;448.25;449.25;,1.00;1.00;19.53;1.02;1.00;1.00;
57,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:47;0705:47;0706:47;0726:14;0727:15;0728:16;0729:16;,424.80;425.80;426.80;446.23;447.27;448.28;449.28;,1.00;1.00;19.43;1.03;1.02;1.00;
58,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:52;0705:52;0706:52;0726:46;0728:05;0729:05;0730:05;,424.88;425.88;426.88;446.78;448.08;449.08;450.08;,1.00;1.00;19.90;1.30;1.00;1.00;
59,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0704:58;0705:58;0706:58;0727:15;0728:16;0729:19;0730:19;,424.97;425.97;426.97;447.27;448.28;449.32;450.32;,1.00;1.00;20.30;1.02;1.03;1.00;
60,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0705:02;0706:02;0707:02;0727:15;0728:37;0729:42;0730:42;,425.05;426.05;427.05;447.27;448.62;449.70;450.70;,1.00;1.00;20.22;1.35;1.08;1.00;
61,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0705:07;0706:07;0707:07;0728:06;0729:07;0730:08;0731:08;,425.13;426.13;427.13;448.10;449.13;450.15;451.15;,1.00;1.00;20.97;1.03;1.02;1.00;
